City,Store ID,Available,Last Modified,Address,Phone
Bassecourt,3057,7,2025-02-25 12:01:02,"C. commercial / Rue de l'Abbé-Monnin, Bassecourt, 2854",+41 32 426 92 61
Bern,3386,8,2025-02-25 11:55:55,"Papiermühlestrasse 71, Bern, 3014",+41 31 335 89 21
Emmenbrücke 3,2987,4,2025-02-25 11:50:53,"Emmen Center, Emmenbrücke 3, 6020",+41 41 262 00 51
Lyss,5571,8,2025-02-25 11:46:07,"Bielstrasse 9, Lyss, 3250",+41 32 386 10 11
Biel,4273,8,2025-02-25 11:35:41,"Zürichstrasse 24c, Biel, 2504",+41 32 342 21 01
Solothurn,3026,8,2025-02-25 11:31:11,"Hauptgasse 37-39, Solothurn, 4500",+41 32 621 04 31
Montagny,3068,8,2025-02-25 11:16:02,"Expo-Centre Migros / En chamard, Montagny, 1442",+41 24 445 00 01
Pfäffikon SZ,2922,2,2025-02-25 11:01:11,"Seedamm-Center, Pfäffikon SZ, 8808",+41 55 410 35 40
Winterthur,2945,8,2025-02-25 11:00:47,"Grüzemarkt / Rudolf-Diesel-Str. 19, Winterthur, 8404",+41 52 233 19 92
Nyon,3098,8,2025-02-25 10:45:51,"C.C. La Combe / Rue de la Morâche 6, Nyon, 1260",+41 22 990 00 01
Genève,3090,8,2025-02-25 10:40:46,"Centre Balexert Parterre, Genève, 1209",+41 22 796 11 22
Thônex,4453,8,2025-02-25 10:35:51,"Rue de Genève 106, Thônex, 1226",+41 22 349 55 41
Sissach,3007,8,2025-02-25 10:35:51,"Coop Bau + Hobby Markt / Gewerbestr, Sissach, 4450",+41 61 975 19 91
St. Moritz,4215,7,2025-02-25 10:15:55,"Plazza da Scuola 6/8, St. Moritz, 7500",+41 81 834 45 91
Morges,3097,8,2025-02-25 10:10:59,"Rue des Fossés 10, Morges, 1110",+41 21 802 63 20
Brig,3042,7,2025-02-25 10:05:40,"Bahnhofstrasse 4, Brig, 3900",+41 27 924 99 51
Bern,3038,8,2025-02-25 09:55:47,"Waisenhausplatz 6, Bern, 3011",+41 31 311 20 62
Genève,4020,28,2025-02-25 09:45:53,"Rue Jargonnant 5, Genève, 1207",+41 22 840 13 41
Lachen,4124,8,2025-02-25 09:45:40,"EKZ  Obersee Lachen / Feldstrasse 6, Lachen, 8853",+41 55 462 10 41
Kaiseraugst,3006,8,2025-02-25 09:40:56,"Junkholzweg 1, Kaiseraugst, 4303",+41 61 811 16 60
Burgdorf,3044,4,2025-02-25 09:35:55,"Mergele / Lyssachstrasse 23, Burgdorf, 3400",+41 34 423 91 41
Visp,3034,8,2025-02-25 09:35:40,"Coop Centerpark / Brückenweg 1, Visp, 3930",+41 27 946 16 61
Crissier,3752,13,2025-02-25 09:31:08,"CC Léman-Centre / Chemin de Saugy 1, Crissier, 1023",+41 21 671 72 01
Thun,3055,3,2025-02-25 09:21:04,"Strättligen Markt / Schulstrasse 32, Thun, 3604",+41 33 334 08 71
Signy,3102,8,2025-02-25 09:10:59,"Centre commercial / En fléchère, Signy, 1274",+41 22 363 04 21
Allschwil,4845,2,2025-02-25 09:01:19,"Binningerstrasse 86, Allschwil, 4123",+41 61 482 14 91
Aarau,3103,16,2025-02-25 08:36:01,"Graben 29, Aarau, 5000",+41 62 823 76 01
Luzern,3001,8,2025-02-25 08:35:30,"Railcity, Luzern, 6003",+41 41 220 09 41
Genève,3584,8,2025-02-25 08:31:17,"Rue de la Croix-d'Or 4, Genève, 1204",+41 22 319 29 01
Lausanne,3094,8,2025-02-25 08:31:17,"Place de la Gare, Lausanne, 1003",+41 21 351 00 81
